1,319,460
2,223,430
3,75,840
4,12,820
5,343,490
6,169,890
7,38,490
8,213,400
9,235,400
10,292,260
11,300,600
12,121,170
13,220,590
14,185,740
15,15,260
16,99,1260
17,206,670
18,237,170
19,276,1100
20,75,840
21,52,520
22,310,930
23,200,500
24,283,660
25,79,130
26,64,130
27,121,170
28,341,390
29,343,490
30,184,740
31,97,800
32,340,680
33,144,0
34,47,870
35,265,680
36,124,0
37,3,360
38,66,520
39,24,350
40,297,0
41,206,670
42,121,170
43,142,400
44,301,700
45,185,740
46,138,960
47,279,340
48,293,590
49,121,170
50,285,510
51,289,0
52,181,110
53,229,780
54,58,0
55,176,330
56,34,0
57,309,610
58,18,0
59,341,390
60,79,130
61,177,540
62,56,480
63,297,0
64,98,570
65,136,370
66,205,0
67,177,540
68,163,0
69,280,1440
70,305,680
71,56,480
72,215,330
73,201,640
74,231,320
75,193,110
76,53,410
77,332,110
78,239,490
79,107,100
80,140,0
81,3,360
82,300,600
83,99,1260
84,296,2570
85,301,700
86,203,350
87,184,740
88,136,370
89,311,0
90,296,2570
91,271,940
92,66,520
93,69,580
94,328,500
95,66,520
96,329,600
97,340,680
98,219,1620
99,121,170
100,205,0
101,150,820
102,79,130
103,34,0
104,294,250
105,262,180
106,140,0
107,276,1100
108,244,400
109,221,1010
110,336,170
111,281,0
112,31,110
113,33,0
114,284,160
115,41,0
116,201,640
117,144,0
118,167,370
119,328,500
120,136,370
121,157,890
122,216,240
123,107,100
124,300,600
125,150,820
126,293,590
127,205,0
128,11,0
129,319,460
130,279,340
131,301,700
132,90,280
133,52,520
134,99,1260
135,341,390
136,344,0
137,309,610
138,319,460
139,249,230
140,201,640
141,227,370
142,248,130
143,58,0
144,150,820
145,68,580
146,349,160
147,340,680
148,259,840
149,343,490
150,185,740
151,219,1620
152,185,740
153,162,340
154,12,820
155,343,490
156,169,890
157,136,370
158,163,0
159,235,400
160,41,0
161,329,600
162,121,170
163,220,590
164,223,430
165,15,260
166,296,2570
167,169,890
168,181,110
169,248,130
170,296,2570
171,89,220
172,310,930
173,200,500
174,309,610
175,138,960
176,64,130
177,302,350
178,341,390
179,181,110
180,301,700
181,206,670
182,157,890
183,144,0
184,142,400
185,58,0
186,199,170
187,24,350
188,66,520
189,336,170
190,32,300
191,97,800
192,309,610
193,177,540
194,125,200
195,249,230
196,64,130
197,2,110
198,293,590
199,251,490
200,285,510
201,289,0
202,35,230
203,343,490
204,265,680
205,69,580
206,99,1260
207,309,610
208,18,0
209,341,390
210,38,490
211,142,400
212,253,970
213,297,0
214,98,570
215,295,370
216,200,500
217,177,540
218,213,400
219,138,960
220,220,590
221,289,0
222,215,330
223,292,260
224,292,260
225,332,110
226,227,370
227,332,110
228,239,490
229,163,0
230,256,0
231,11,0
232,341,390
233,220,590
234,244,400
235,125,200
236,203,350
237,304,330
238,280,1440
239,12,820
240,296,2570
241,271,940
242,205,0
243,176,330
244,328,500
245,66,520
246,300,600
247,33,0
248,102,170
249,251,490
250,200,500
251,296,2570
252,280,1440
253,99,1260
254,259,840
255,262,180
256,256,0
257,35,230
258,296,2570
259,64,130
260,24,350
261,281,0
262,31,110
263,33,0
264,284,160
265,292,260
266,292,260
267,296,2570
268,98,570
269,328,500
270,99,1260
271,318,0
272,341,390
273,163,0
274,300,600
275,176,330
276,32,300
277,66,520
278,11,0
279,102,170
280,279,340
281,125,200
282,90,280
283,284,160
284,295,370
285,216,240
286,169,890
287,309,610
288,219,1620
289,13,0
290,292,260
291,53,410
292,349,160
293,265,680
294,296,2570
295,68,580
296,248,130
297,199,170
298,259,840
299,237,170
300,177,540
301,225,0
302,13,0
303,200,500
304,12,820
305,343,490
306,203,350
307,280,1440
308,166,400
309,235,400
310,300,600
311,262,180
312,121,170
313,305,680
314,285,510
315,15,260
316,136,370
317,169,890
318,343,490
319,248,130
320,200,500
321,284,160
322,47,870
323,244,400
324,184,740
325,138,960
326,64,130
327,251,490
328,310,930
329,181,110
330,184,740
331,97,800
332,199,170
333,144,0
334,47,870
335,265,680
336,157,890
337,24,350
338,16,180
339,336,170
340,32,300
341,169,890
342,184,740
343,185,740
344,98,570
345,13,0
346,280,1440
347,239,490
348,293,590
349,251,490
350,285,510
