182,102,PO,14,350
183,249,PO,49,160
184,162,PO,5,230
185,311,PO,27,260
186,343,PO,24,180
187,121,PO,34,320
188,79,PO,1,240
189,163,PO,40,100
190,235,PO,6,200
191,300,PO,19,150
192,329,PO,32,180
193,169,PO,34,440
194,188,PO,13,140
195,185,PO,49,230
196,15,PO,10,130
197,296,PO,50,370
198,97,PO,17,310
199,343,PO,11,170
200,349,PO,12,160
201,75,PO,5,340
202,89,PO,20,220
203,41,PO,19,100
204,75,PO,5,230
205,309,PO,22,340
206,280,PO,1,340
207,64,PO,30,190
208,169,PO,34,170
209,300,PO,19,260
210,35,PO,11,100
211,184,PO,23,290
212,206,PO,17,400
213,124,PO,16,170
214,296,PO,3,230
215,142,PO,38,370
216,58,PO,36,250
217,318,PO,16,430
218,3,PO,48,500
219,205,PO,33,100
220,336,PO,2,250
221,293,PO,37,300
222,97,PO,17,310
223,304,PO,22,340
224,177,PO,38,140
225,125,PO,23,160
226,223,PO,49,160
227,79,PO,1,130
228,239,PO,39,490
229,293,PO,21,100
230,203,PO,34,130
231,249,PO,49,430
232,253,PO,25,160
233,35,PO,11,110
234,229,PO,24,180
235,219,PO,36,460
236,176,PO,4,290
237,99,PO,13,440
238,184,PO,22,160
239,18,PO,18,470
240,341,PO,19,150
241,38,PO,1,340
242,142,PO,38,140
243,289,PO,25,480
244,32,PO,37,190
245,167,PO,8,410
246,296,PO,50,160
247,66,PO,33,340
248,177,PO,35,170
249,163,PO,40,100
250,38,PO,1,240
251,305,PO,13,360
252,253,PO,25,160
253,215,PO,47,330
254,242,PO,15,380
255,242,PO,15,260
256,332,PO,44,200
257,140,PO,7,110
258,193,PO,44,200
259,279,PO,39,110
260,166,PO,40,230
261,140,PO,7,300
262,11,PO,48,110
263,41,PO,19,460
264,305,PO,13,150
265,162,PO,5,500
266,98,PO,23,290
267,203,PO,34,320
268,309,PO,22,160
269,280,PO,1,450
270,12,PO,27,260
271,296,PO,28,330
272,271,PO,18,270
273,205,PO,33,340
274,69,PO,4,290
275,328,PO,46,500
276,205,PO,33,340
277,300,PO,32,180
278,340,PO,16,430
279,225,PO,14,210
280,99,PO,34,320
281,66,PO,33,240
282,150,PO,28,330
283,136,PO,1,360
284,34,PO,13,150
285,259,PO,29,380
286,329,PO,32,300
287,140,PO,7,110
288,276,PO,11,170
289,296,PO,5,400
290,221,PO,30,190
291,336,PO,2,170
292,294,PO,29,460
293,31,PO,31,110
294,124,PO,16,290
295,52,PO,20,160
296,310,PO,19,470
297,231,PO,15,260
298,144,PO,3,110
299,167,PO,8,410
300,198,PO,46,100
301,295,PO,50,160
302,124,PO,16,390
303,341,PO,26,240
304,163,PO,40,230
305,300,PO,19,260
306,150,PO,28,370
307,297,PO,37,300
308,200,PO,33,180
309,3,PO,48,110
310,219,PO,14,170
311,279,PO,39,110
312,301,PO,23,290
313,90,PO,9,280
314,284,PO,20,160
315,296,PO,50,380
316,341,PO,26,240
317,169,PO,17,310
318,184,PO,22,120
319,225,PO,14,460
320,223,PO,49,160
321,201,PO,15,320
322,140,PO,7,110
323,276,PO,12,160
324,219,PO,36,250
325,296,PO,28,370
326,68,PO,45,340
327,349,PO,12,130
328,157,PO,16,290
329,259,PO,29,380
330,237,PO,11,230
331,185,PO,38,140
332,319,PO,14,460
333,185,PO,49,300
334,244,PO,5,230
335,311,PO,27,300
336,343,PO,24,180
337,203,PO,34,360
338,79,PO,1,450
339,213,PO,40,400
340,235,PO,6,200
341,310,PO,19,100
342,329,PO,32,300
343,203,PO,34,360
344,99,PO,13,240
345,13,PO,49,430
346,15,PO,10,130
347,99,PO,50,160
348,97,PO,17,400
349,181,PO,11,170
350,248,PO,12,160
351,244,PO,5,400
352,52,PO,20,360
353,280,PO,19,100
354,244,PO,5,500
355,184,PO,22,340
356,79,PO,1,240
357,64,PO,30,190
358,121,PO,34,350
359,292,PO,19,150
360,343,PO,11,110
361,184,PO,23,160
